age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
37,4,146330,11,0,3,1,4,0,0,0,30,39,0
67,3,115413,12,2,1,0,3,1,0,0,40,39,0
40,4,194401,11,2,3,0,4,1,0,0,40,39,1
39,4,192544,11,2,1,0,4,1,0,0,40,39,0
19,4,236213,0,4,8,3,4,0,0,0,22,26,0
52,4,124538,11,4,5,1,4,0,0,0,47,39,0
35,2,205706,7,1,2,2,4,0,0,0,37,39,0
24,7,217620,9,2,1,0,3,1,0,433,40,39,1
41,6,194251,15,0,0,3,4,0,0,0,20,39,0
56,0,111875,5,2,6,0,4,0,0,0,40,33,0
37,3,40945,11,0,8,3,4,0,0,0,32,39,0
30,1,178331,7,5,14,4,2,1,0,0,36,39,0
41,2,100381,9,2,5,2,2,0,99993,0,11,35,1
51,0,103520,11,2,0,0,4,1,1991,0,40,39,0
51,2,193456,8,2,4,0,4,1,99988,0,58,39,1
36,4,152018,9,1,12,1,4,0,99999,0,56,39,1
20,2,185505,1,4,7,3,4,0,0,0,19,39,0
31,2,65866,9,0,9,0,4,0,100026,0,56,39,1
54,5,206019,9,2,9,0,4,1,99889,0,58,11,1
50,2,204392,8,0,8,1,4,0,0,0,30,39,0
49,4,202343,11,0,1,4,2,1,0,0,40,39,0
20,5,186809,11,2,3,3,3,0,0,1555,40,39,0
49,4,157217,11,2,4,2,2,0,100009,0,45,39,1
91,4,86494,15,6,3,1,4,0,0,0,11,39,0
54,5,54633,8,2,4,0,4,1,0,0,54,3,1
34,4,120383,11,2,8,0,4,1,0,0,46,39,1
42,4,115779,11,0,1,4,4,0,5315,0,34,0,1
34,8,234580,15,4,1,3,4,0,0,0,23,39,0
54,5,34249,14,6,10,1,4,0,0,0,23,39,0
41,4,219770,6,4,3,1,4,0,0,431,40,26,0
20,0,186086,13,4,3,3,4,0,0,0,18,39,0
29,2,327220,12,4,10,1,4,1,5049,0,40,39,0
34,4,174440,9,2,12,0,4,1,0,1906,50,39,1
51,4,209657,9,2,12,0,4,1,100002,0,51,39,1
23,4,230919,5,4,3,0,4,1,0,0,13,39,0
28,4,63547,9,4,5,3,4,0,0,0,27,39,0
60,0,170465,11,2,0,0,4,1,0,1605,40,39,0
75,4,17394,15,4,3,1,4,0,0,0,40,6,0
19,0,566551,2,4,0,3,3,0,0,0,30,39,0
45,4,244863,10,2,10,0,4,1,100073,0,59,39,1
31,4,193796,9,4,3,1,1,1,0,0,30,6,0
35,1,266129,11,2,14,0,4,1,0,0,48,39,0
39,5,185997,10,2,10,0,1,1,100024,0,51,17,1
60,6,167902,11,2,10,0,2,1,100018,0,58,39,1
58,0,28841,13,0,0,1,4,0,0,0,40,39,0
19,6,43701,11,0,8,0,2,1,0,0,21,39,0
24,0,196356,4,4,0,3,1,1,0,0,29,39,0
72,0,54237,9,4,1,3,3,0,0,0,40,19,0
72,5,100560,12,2,10,0,3,0,100030,0,50,36,1
50,4,201849,11,1,1,4,4,0,5193,0,34,39,0
29,4,209239,9,2,12,0,4,1,4984,0,54,39,1
50,4,119849,13,6,10,0,4,1,100030,0,49,6,1
19,0,181668,1,2,0,0,4,1,0,0,6,39,0
31,4,191569,9,4,9,2,4,0,0,0,51,39,0
45,4,228159,7,0,4,4,4,0,100029,0,50,39,1
40,4,264690,9,2,10,0,4,1,100009,0,53,39,1
65,4,383783,2,4,8,3,3,1,0,0,58,26,0
45,2,315752,12,4,1,3,4,0,0,0,46,39,1
38,2,215126,12,2,5,5,4,0,0,0,31,39,0
39,4,575556,15,2,12,0,4,1,0,0,40,39,1
68,0,34476,5,0,0,1,4,0,5087,0,18,39,0
59,2,174303,10,0,7,1,3,0,0,0,33,39,0
67,4,279446,9,2,12,0,4,1,100000,0,49,39,1
31,4,167794,11,2,6,0,4,1,0,0,48,39,0
40,1,64243,13,2,1,0,1,1,0,1303,40,30,0
41,5,336282,11,1,7,2,4,0,100039,0,42,39,1
19,4,169865,15,4,6,3,4,1,0,0,18,39,0
30,4,201160,11,4,12,3,2,1,0,0,68,39,0
58,7,42760,0,4,10,1,4,0,0,0,12,39,0
60,4,135555,9,1,1,1,4,0,0,0,16,39,0
45,1,175782,9,3,4,1,3,0,100001,0,22,39,0
36,7,314084,15,2,14,0,4,1,0,1898,54,39,1
19,4,179234,2,4,1,3,3,1,0,0,21,26,0
77,4,82472,8,0,3,1,4,0,100039,0,39,39,1
36,2,319257,12,2,10,0,2,1,0,0,38,39,1
26,7,270888,12,4,10,1,4,0,99914,0,44,39,1
50,5,173871,13,2,9,3,4,1,4730,0,65,39,0
35,4,205936,11,4,3,0,4,1,0,0,38,0,0
48,0,184251,9,4,0,0,4,1,0,0,17,39,0
59,4,142235,11,1,6,2,4,0,2558,0,33,39,0
44,4,198304,9,2,11,0,2,1,100015,0,52,39,1
48,4,296747,14,2,10,0,4,1,100015,0,38,39,1
38,4,105928,11,2,4,0,4,1,0,0,43,39,1
24,4,137401,9,2,5,0,4,1,0,0,40,39,1
23,4,146450,15,4,12,3,4,1,0,0,5,39,0
41,4,143543,11,1,3,4,2,0,4939,0,33,36,0
54,5,78799,11,2,10,0,4,1,100008,0,54,39,1
36,6,298286,12,2,4,0,4,1,5402,0,59,39,1
23,3,122142,13,4,1,1,4,1,0,0,59,0,0
23,4,292176,14,4,8,3,2,0,0,0,19,39,0
19,2,187862,9,2,9,2,4,0,5036,0,40,39,0
25,4,376871,4,4,5,2,4,0,0,0,35,26,0
51,5,180473,9,4,12,3,3,0,0,0,35,39,0
56,2,33004,12,2,1,0,4,0,0,0,15,39,0
26,7,46050,9,4,1,3,4,1,0,0,31,39,0
66,0,264118,9,2,0,2,2,1,0,0,33,39,0
46,4,199762,13,2,6,0,4,1,100029,0,47,39,1
43,4,147952,12,2,4,0,4,1,0,0,21,39,1
47,6,222127,11,2,4,0,4,1,0,0,47,39,1
26,4,267250,12,4,8,3,4,0,0,0,7,0,0
64,4,161186,9,2,4,0,4,1,100009,0,40,39,1
31,6,42051,11,2,5,0,4,1,0,0,56,39,0
36,2,265966,10,2,4,2,3,0,0,0,40,30,1
48,4,149708,9,2,12,0,4,1,0,0,73,39,1
24,4,197475,15,4,12,1,4,1,0,0,22,3,0
31,0,266952,14,4,10,1,3,1,0,0,40,19,0
25,4,61235,12,4,8,1,4,0,2886,0,30,17,0
53,4,36135,12,5,7,1,4,0,0,0,22,39,0
43,4,134727,13,1,7,4,4,0,100012,422,45,39,1
37,7,46181,14,5,10,1,0,0,0,0,40,39,0
51,4,40685,11,0,3,4,4,0,0,0,30,39,0
41,7,122550,12,2,5,0,4,1,0,0,59,39,0
45,0,173137,9,4,0,2,2,0,0,0,14,39,0
42,4,206309,11,2,12,0,4,1,100020,0,56,39,1
46,2,354187,14,2,10,0,4,0,99993,0,52,39,1
30,6,320022,11,2,4,0,1,1,100003,0,50,5,1
51,4,188075,14,2,8,0,4,0,0,0,32,39,1
49,1,249450,11,2,11,0,2,0,0,0,59,10,0
34,7,760418,9,4,6,1,2,0,0,0,19,39,0
62,4,132344,11,0,1,1,4,1,0,0,40,39,0
48,2,390778,9,6,4,4,4,0,5051,0,38,39,0
66,4,346265,4,2,6,0,3,1,99975,0,46,39,1
30,4,216857,9,4,12,1,4,1,0,0,49,39,0
50,0,144437,13,2,0,0,4,0,0,0,40,39,0
36,4,509302,15,4,3,0,4,1,4919,0,29,39,0
40,4,162676,11,2,1,0,1,1,0,0,36,30,0
20,4,183894,0,4,8,2,1,0,0,0,40,30,0
35,6,250237,7,4,1,3,3,0,0,0,37,39,0
31,4,283913,11,0,1,4,4,0,0,0,28,3,0
23,0,192457,11,4,3,1,2,1,0,0,20,39,0
26,4,146575,15,4,1,3,2,0,0,0,19,39,0
36,4,188496,12,3,1,4,2,0,0,304,50,39,0
33,1,243253,12,2,9,0,4,1,0,0,46,39,1
24,4,282521,11,2,1,2,0,1,0,0,40,39,0
51,5,115170,13,2,9,0,3,1,100013,0,60,39,1
34,4,163322,15,4,10,1,4,1,0,0,55,39,0
