age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,1,78598,9,2,14,0,4,1,0,0,48,39,1
47,4,234803,12,2,1,5,4,0,0,0,44,39,1
44,7,87985,11,0,7,1,4,0,0,0,46,39,0
50,1,73295,5,3,11,0,4,1,4600,0,40,39,0
19,0,188230,1,2,0,2,4,1,3922,0,40,39,0
52,4,87729,12,2,7,4,4,1,100078,0,46,39,1
35,7,418528,9,2,4,0,4,1,99979,0,61,39,1
45,3,353285,5,0,5,1,3,0,0,0,14,39,0
25,4,260071,5,1,7,4,4,0,0,0,40,27,0
48,3,31850,13,1,10,4,3,1,99910,0,37,39,1
18,0,224496,1,4,0,1,2,0,0,0,40,39,0
60,6,121178,14,2,10,0,4,1,99938,0,53,39,1
41,1,62809,12,0,2,2,4,0,0,0,40,27,0
43,4,271060,15,4,8,3,2,1,100120,0,32,39,1
47,4,116056,11,4,6,2,2,0,0,0,47,18,0
45,1,95770,9,3,6,1,2,1,0,0,74,39,0
36,4,217542,10,6,5,2,4,0,0,0,40,36,0
42,4,368720,12,3,10,0,4,1,99970,0,52,39,1
15,2,85148,15,2,14,0,4,1,0,0,32,39,0
19,4,381035,15,6,12,3,4,0,0,0,53,39,0
36,4,170955,15,4,6,3,2,0,0,0,42,39,0
49,7,212722,13,0,7,4,2,1,0,0,40,39,0
20,4,240996,11,2,6,0,4,1,0,0,40,39,1
44,4,196370,9,2,12,0,4,1,99965,0,40,39,1
40,7,111073,12,0,1,4,4,0,0,0,30,39,0
56,0,183801,9,2,0,0,4,1,100002,0,48,39,1
40,4,110578,1,2,4,0,4,0,100041,0,36,39,1
52,4,186907,14,2,10,0,4,1,99933,0,75,39,1
39,5,189634,14,2,10,0,4,1,99987,0,54,39,1
32,3,110289,13,6,1,4,3,0,0,0,9,39,0
34,1,413271,12,0,2,4,4,0,0,0,40,39,0
60,4,270039,12,2,1,0,4,0,0,0,35,39,0
45,5,113471,11,6,5,3,4,1,5065,0,35,39,0
23,4,79802,11,4,4,1,4,0,0,0,40,39,0
39,6,72358,8,2,12,0,4,1,100001,0,50,39,1
42,1,100683,12,0,10,4,2,0,0,0,41,27,0
19,4,74837,11,4,12,3,4,1,0,0,26,39,0
27,4,171968,11,2,8,0,4,1,0,0,30,39,0
48,4,103673,11,2,6,0,4,1,0,0,18,39,0
47,4,117761,15,2,12,0,4,1,0,0,58,39,1
36,2,176881,11,0,4,1,3,1,0,0,40,26,0
73,6,252096,5,3,0,4,4,0,0,0,31,39,0
47,4,236189,10,2,12,0,4,1,99982,0,44,39,1
39,4,64756,8,2,14,5,2,0,0,0,40,39,0
24,2,47313,12,4,5,1,4,0,0,0,36,39,0
39,4,338996,10,1,9,2,4,0,4916,0,40,39,0
37,4,316680,15,2,8,0,4,1,0,0,52,39,1
37,6,172124,11,2,5,0,4,1,5019,0,40,39,1
48,4,275401,11,2,4,0,4,1,99978,0,40,39,1
47,4,102602,3,2,4,1,4,0,0,0,40,39,0
50,4,140194,14,2,10,0,4,0,99963,0,74,39,1
24,6,389576,15,4,12,5,4,0,0,0,40,39,0
41,3,186463,13,0,4,3,3,0,0,0,36,39,0
41,6,183538,12,2,3,4,4,0,0,0,46,39,0
20,4,69878,9,4,11,1,2,0,5027,0,40,39,0
17,6,104114,9,4,0,1,4,1,0,0,37,39,0
38,5,145639,9,0,9,4,4,0,0,0,52,39,0
60,0,337427,9,2,0,0,4,1,0,0,40,39,0
47,4,100651,5,5,7,4,4,1,0,0,40,6,0
53,4,172404,1,0,10,4,3,0,0,0,40,39,0
35,5,173872,10,3,11,0,4,1,100010,0,59,39,1
38,4,413534,15,0,4,4,4,0,0,0,29,39,0
23,7,331094,2,2,6,0,4,1,0,0,51,39,0
59,6,179627,11,0,10,1,2,0,0,0,40,39,0
65,4,123595,11,2,12,0,4,1,0,0,40,0,1
21,7,100537,11,0,6,1,2,1,0,0,52,39,0
47,4,64798,3,2,12,0,4,0,0,0,40,39,0
37,4,367487,15,2,12,0,4,1,0,0,46,39,0
24,4,462377,11,3,3,1,4,1,0,0,59,39,0
31,4,243022,5,0,6,2,2,0,100006,0,40,39,0
40,0,253367,1,2,4,3,4,1,0,0,21,39,0
36,4,72876,10,1,8,3,4,0,100071,0,8,39,1
47,4,210698,11,2,4,0,4,1,100016,0,47,39,1
30,1,105169,13,6,4,4,4,0,0,0,8,39,0
41,5,181154,10,2,10,0,4,0,100055,0,66,39,1
50,4,240365,11,2,12,0,4,1,0,0,40,6,1
47,5,235456,10,2,4,0,4,1,99895,0,52,11,1
60,1,110451,9,2,14,0,4,1,0,0,40,39,0
47,4,422752,14,2,10,5,4,0,99985,1320,33,39,1
49,4,158879,12,2,7,0,4,1,99995,0,53,39,1
33,4,87652,10,2,7,2,4,1,0,0,34,39,1
27,4,112985,9,4,12,1,1,0,0,0,39,36,0
59,7,185212,11,2,4,0,4,1,100004,0,61,39,1
34,4,225154,15,2,7,0,4,1,0,0,40,39,0
33,4,323613,3,4,10,4,4,0,0,0,40,39,0
58,4,161643,6,2,1,0,4,1,0,0,40,39,0
35,4,242683,9,2,4,0,4,1,99970,0,65,39,0
42,5,92785,12,0,12,5,4,0,0,0,30,39,0
29,4,97918,15,5,1,4,4,0,0,0,40,27,0
39,4,130743,11,4,4,1,4,1,100021,0,52,39,1
45,3,224504,9,0,11,0,3,0,0,0,54,39,0
17,4,197425,7,1,8,4,4,0,0,0,13,39,0
35,4,95553,9,2,12,0,4,1,5066,0,40,39,1
45,4,29863,11,2,12,5,4,0,5211,1652,43,39,1
32,4,209859,9,2,6,0,2,1,0,0,47,39,1
54,4,165514,12,0,8,4,3,0,0,0,45,39,0
51,4,209847,4,5,8,4,3,1,0,0,22,39,0
20,3,158157,10,4,8,3,2,0,0,0,37,39,0
37,4,34233,12,4,10,0,0,1,0,0,72,39,0
31,4,127998,15,6,12,4,4,1,0,0,22,39,1
46,4,410164,11,0,5,1,4,0,14150,0,60,39,0
28,4,216760,9,2,10,5,3,0,0,0,40,38,0
30,2,166382,11,0,9,5,4,0,0,0,40,39,0
41,3,34115,5,6,8,4,3,0,0,0,23,39,0
33,4,220924,12,2,6,0,4,1,99950,0,45,39,1
32,4,207331,12,5,8,4,4,0,0,0,29,30,0
42,6,28893,10,2,10,5,3,0,99961,0,48,39,1
20,1,84225,1,5,14,3,4,0,0,0,29,39,0
34,4,202495,9,4,10,1,0,1,0,0,40,39,0
46,4,200438,10,2,14,0,4,1,99995,0,40,39,1
48,4,177450,9,2,12,5,4,0,100008,0,42,39,1
47,5,200274,10,2,4,0,4,1,99956,0,59,6,1
29,6,139605,13,2,7,0,4,1,99979,0,52,39,1
49,4,129824,11,2,7,5,4,0,0,0,40,39,0
33,4,191428,9,4,12,1,4,1,0,0,40,39,1
53,4,125688,9,2,12,0,4,0,100002,0,60,39,1
31,4,222981,15,2,14,0,0,1,0,0,40,39,0
18,4,91624,11,4,12,1,4,0,0,0,40,39,0
36,4,218098,15,0,8,4,2,0,0,0,34,39,0
43,2,147673,13,0,8,1,0,0,0,0,40,39,0
47,4,152419,14,2,8,5,2,0,99992,0,59,39,0
65,4,151606,5,0,12,1,1,0,0,2261,40,39,0
47,5,247504,13,0,10,1,3,0,99980,0,60,39,1
26,0,336669,12,2,6,0,4,1,99990,0,40,39,1
20,7,372756,1,0,8,3,4,1,0,0,30,39,0
46,4,75672,11,0,6,4,4,1,0,0,29,39,0
23,1,120442,12,3,2,2,3,1,0,0,91,27,0
40,7,228833,6,0,3,3,4,1,0,0,15,39,0
20,6,173338,11,4,4,1,2,1,0,0,42,39,0
34,4,206786,12,2,5,0,4,0,100003,0,46,39,1
45,1,42504,15,2,3,0,4,1,-3730,0,40,39,0
36,4,233602,10,3,5,0,4,1,99968,0,61,39,1
33,7,49285,15,0,12,1,4,0,0,0,59,39,0
18,7,280420,2,2,7,0,4,1,0,0,40,39,0
51,4,348045,15,2,10,0,4,1,0,0,40,39,1
29,4,273071,9,1,4,4,4,0,99956,0,42,39,1
42,4,184368,12,2,12,0,4,1,99991,0,44,39,1
38,1,38059,8,0,2,1,3,0,-572,0,20,39,0
49,4,359257,15,2,10,0,1,0,99977,0,40,27,1
43,4,30457,8,1,2,4,4,0,5286,0,24,39,0
36,4,336763,14,2,10,0,4,1,99955,0,46,39,1
69,6,109495,14,2,4,5,3,0,0,0,40,30,0
51,4,326005,15,0,8,1,4,0,4051,0,40,39,0
42,4,216573,11,2,3,1,4,1,0,0,14,39,0
45,6,194335,14,0,1,3,4,0,0,0,42,39,0
46,6,119899,11,2,3,0,4,0,0,0,21,26,0
43,7,212133,7,0,4,1,4,0,0,0,51,39,0
17,1,40451,13,5,5,1,4,0,0,0,36,39,0
30,4,412921,10,3,12,1,4,1,99962,0,46,39,1
63,4,338254,12,1,2,4,2,0,5621,0,40,27,0
54,3,218390,8,5,0,1,4,0,3207,0,48,39,0
41,4,201316,4,6,4,4,3,0,0,0,36,39,0
50,4,112179,9,2,4,0,4,0,99942,0,46,11,1
49,4,248591,14,2,4,0,4,1,99939,0,44,39,1
41,4,88774,11,2,12,0,4,1,4993,0,40,39,1
41,4,194753,11,0,8,4,2,0,0,0,37,39,0
46,1,142462,9,1,10,3,4,1,0,0,66,39,0
47,6,92093,9,3,4,1,4,1,0,0,51,11,0
45,4,186373,11,2,12,0,4,1,99991,0,45,39,1
29,4,427792,6,6,4,4,4,0,0,0,6,39,0
24,4,107192,9,4,12,5,4,0,0,0,49,11,0
45,7,329955,14,0,1,1,2,0,0,0,55,39,1
32,4,58644,10,3,10,2,1,0,100011,0,43,36,1
41,4,223676,13,0,8,4,4,0,0,0,10,39,0
46,5,330467,8,2,12,0,4,1,14058,0,36,39,1
40,4,380470,9,2,12,0,4,1,4698,1923,40,39,1
58,6,206234,11,2,11,0,4,1,99978,0,59,39,1
29,4,75699,10,1,8,4,2,0,0,0,44,39,0
53,4,189710,11,2,12,0,4,1,99978,0,40,39,1
48,4,92050,9,2,12,5,4,0,100017,0,43,39,1
17,4,15330,1,4,8,3,4,1,0,0,13,39,0
50,5,424267,14,0,4,4,3,0,100003,0,71,39,1
45,4,180874,13,1,6,1,4,1,100004,0,61,39,1
47,4,103769,11,3,12,1,1,0,0,0,40,36,0
61,4,235990,14,2,10,0,4,1,99976,0,51,39,1
34,4,243911,13,1,6,4,2,0,0,0,46,34,0
55,4,156902,13,4,12,1,4,1,0,0,58,39,1
48,6,190204,9,2,4,0,4,1,0,0,65,39,1
39,0,208113,9,4,0,3,4,1,0,0,45,39,0
50,4,326594,5,2,0,0,4,1,100130,0,58,30,1
28,7,473512,15,0,1,1,4,0,0,0,40,39,0
39,4,212403,11,2,4,0,4,1,99946,0,46,39,1
32,4,202976,3,2,7,5,2,0,0,0,29,39,0
45,7,86727,11,0,4,1,2,0,0,0,19,39,0
41,3,160950,8,2,11,0,0,1,99996,0,41,39,1
43,5,178132,12,0,5,1,3,1,99987,0,48,39,1
26,4,89710,12,5,13,2,2,0,0,0,40,39,0
29,4,361338,9,2,9,0,2,1,99988,0,60,27,1
38,4,428133,10,0,5,3,4,0,0,0,43,39,0
43,4,192271,9,2,4,0,4,1,99937,0,67,39,1
28,4,118985,15,5,4,1,4,0,0,0,10,39,0
40,4,135112,15,6,1,4,3,0,0,0,21,30,0
57,6,118741,11,2,3,0,1,1,0,0,40,28,0
68,5,194485,9,2,10,0,4,1,99957,0,75,39,1
27,0,187173,15,2,14,0,4,1,0,0,22,39,0
50,4,110820,8,0,4,1,2,0,0,0,22,39,0
31,4,321931,15,0,9,3,3,1,0,0,20,39,0
45,6,145249,12,2,10,0,4,1,99923,0,67,39,1
49,4,127486,4,1,10,3,4,0,0,0,22,39,0
61,6,184719,11,4,4,1,4,1,0,0,13,39,0
44,3,164678,9,3,4,1,4,0,99921,0,47,11,1
52,4,93235,11,2,7,0,4,1,0,0,40,39,0
17,0,23771,0,4,6,3,4,1,0,0,19,39,0
19,5,83698,9,2,4,0,1,1,99987,0,40,36,1
31,4,122374,15,5,12,4,4,0,0,0,36,39,0
64,0,268977,11,0,5,4,3,0,0,0,58,39,0
29,4,206924,3,2,7,0,4,1,100006,0,65,39,1
18,4,90815,8,5,4,3,4,0,0,0,31,39,0
45,4,202113,9,2,10,1,4,1,99954,0,43,22,1
22,2,180156,13,0,11,1,4,0,0,0,40,39,0
51,0,199645,9,2,0,3,4,1,0,0,58,39,0
44,4,164709,9,1,12,5,4,0,12948,0,49,39,1
56,3,236647,15,1,10,1,3,0,5015,0,40,39,0
24,4,99127,3,4,8,4,4,0,0,1626,19,39,0
17,4,85593,2,4,6,3,2,0,0,0,40,39,0
44,7,76862,11,2,3,0,4,1,4317,0,45,39,0
30,4,62810,10,1,10,1,3,0,14249,0,40,39,0
54,4,111943,2,2,12,0,4,1,0,0,40,39,0
40,4,132283,15,2,12,0,4,1,0,0,59,39,0
49,4,74355,10,1,4,0,2,1,99965,0,39,39,1
28,4,87437,11,2,12,0,4,1,0,0,23,39,0
61,1,145531,8,2,14,4,4,1,5820,0,48,39,0
