age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
52,4,404902,15,2,10,0,4,1,100041,0,40,39,1
30,2,45640,15,4,10,1,4,0,0,0,40,39,0
47,4,187612,11,0,9,1,4,0,99972,0,67,26,0
90,5,124413,9,2,10,0,4,1,5612,0,66,39,1
21,4,204333,15,2,6,0,4,0,0,0,56,39,0
46,6,36941,11,4,10,1,4,1,0,0,40,0,0
39,2,85817,15,0,11,4,2,0,0,0,46,36,0
44,4,75086,15,2,10,0,4,0,0,0,40,39,0
42,4,179426,4,2,3,0,4,1,5782,0,67,39,1
49,1,96389,15,0,1,3,4,0,0,0,34,39,0
65,4,135558,9,2,7,0,4,1,99956,0,50,39,1
54,0,334546,11,0,0,4,4,0,0,459,40,0,0
57,8,329936,14,3,10,0,3,0,99955,0,60,27,1
25,4,183322,1,0,3,3,4,0,13622,0,20,0,0
39,4,382145,9,2,10,0,4,1,99947,0,60,39,1
61,4,232139,9,4,12,1,0,1,0,0,40,39,0
38,5,27467,9,2,11,0,4,1,99926,0,43,39,1
15,0,115593,1,4,0,3,4,1,0,0,17,39,0
49,4,30212,11,2,10,0,4,1,0,0,40,39,1
35,4,196054,9,2,14,0,4,0,99978,2238,49,39,1
49,1,44582,11,2,13,5,4,1,0,0,40,39,0
53,2,247839,11,2,11,5,4,0,0,1914,40,39,1
29,4,325172,9,0,1,3,3,0,0,0,20,39,0
47,2,113541,15,0,9,3,4,0,0,0,37,39,0
37,5,154278,9,1,4,1,4,1,0,0,52,39,0
54,4,106165,15,4,12,1,4,0,0,0,65,39,0
22,4,387623,11,2,3,0,4,1,0,0,23,39,0
46,4,365440,6,3,6,0,2,0,0,0,52,39,0
60,4,222438,15,2,12,0,4,1,0,0,12,17,1
35,4,84218,10,3,4,0,2,1,100036,0,27,39,1
45,5,140394,12,2,4,0,4,1,100080,0,40,39,1
27,6,28572,11,2,11,0,4,1,0,0,52,39,1
24,4,260629,9,4,13,1,4,1,0,0,23,39,0
17,4,343990,9,3,1,4,3,0,0,0,10,22,0
50,5,314873,10,0,10,4,3,0,99988,0,47,39,1
35,4,199571,9,3,9,2,1,0,99999,0,49,27,0
44,2,216587,11,4,9,2,2,0,0,0,22,39,0
40,2,39711,14,3,10,0,3,0,100021,0,45,27,1
42,4,47375,14,2,10,0,1,1,99656,0,31,9,1
35,4,95966,10,3,10,0,4,1,100086,0,53,39,1
33,4,412875,9,3,9,0,4,1,99993,0,58,27,1
