gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,142.0,2505.0,0
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,498.0,1466.0,0
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,436.0,157.0,1
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,266.0,1400.0,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,729.0,925.0,1
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,1274.0,6104.0,1
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,1075.0,1550.0,0
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,140.0,2609.0,0
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,1371.0,2646.0,1
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,482.0,3022.0,0
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,375.0,4823.0,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,8.0,2836.0,0
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,1288.0,4693.0,0
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,1349.0,4265.0,1
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,1385.0,2337.0,0
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,1519.0,5959.0,0
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,42.0,46.0,0
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,1409.0,5704.0,0
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,463.0,4416.0,1
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,1094.0,1433.0,0
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,237.0,3340.0,1
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,25.0,1651.0,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,32.0,1609.0,1
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,541.0,3041.0,0
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,535.0,2567.0,0
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,465.0,959.0,0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,1268.0,4019.0,1
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,148.0,2592.0,1
