591,534,350,71,467,675,452,81,173,505,115,210,134,424,405,289,399,249,566,208,345,45,261,515,397,402,419,148,586,97,753,327,226,602,655,205,230,465,795,680,98,584,779,432,750,282,561,503,304,570,545,135,634,309,20,265,773,199,644,564,596,497,79,228,7,569,718,82,488,426,387,219,615,477,32,518,486,380,278,126,372,474,27,376,175,187,375,562,447,171,422,772,378,240,696,589,138,635,471,420,cluster,SR.ARE
4646,1568,2214,715,222,0,444,746,13,730,564,1235,0,397,476,0,445,1674,1215,4,2634,936,851,2371,4,2041,561,69,3568,3477,716,300,1146,773,727,663,1215,187,2629,3947,559,155,2426,1780,2032,2,467,1226,3,689,1491,418,389,2,1285,21,4817,1234,0,693,650,772,718,978,2091,0,3824,606,530,1049,491,1627,144,1227,1447,646,742,330,0,520,1093,243,693,290,0,2184,269,240,3134,2542,1226,4776,113,1096,0,5563,0,278,181,1061,103,0
1300,1129,2267,643,225,0,322,349,8,1770,681,855,0,1387,939,0,1099,1551,908,4,3372,1,548,1709,2,578,499,77,6500,3717,120,263,1152,512,447,657,835,289,972,4422,753,125,2599,1279,1287,4,578,1288,3,931,1188,443,518,3,888,13,3959,942,0,508,112,556,646,859,2077,0,3731,1246,852,942,387,1559,144,1295,992,1224,949,267,0,584,1261,239,479,285,0,1953,265,286,3324,2494,830,3551,167,916,3700,2168,0,490,235,1107,101,0
3096,415,1676,695,296,0,496,995,7,2397,240,828,0,794,1227,1,1054,1411,822,2,3348,516,715,784,1,1911,1862,41,4333,997,283,180,916,487,474,616,888,225,2801,1645,416,79,1961,2031,1166,3,634,834,3,645,641,1,949,2,637,12,1996,774,0,221,505,695,549,786,1040,1301,2565,1226,1044,1729,422,1387,144,990,1029,1461,1347,309,0,667,1878,113,348,286,0,1227,268,351,2518,1428,1390,2240,108,707,2996,3757,0,0,227,604,101,0
415,438,1169,1357,194,0,246,0,8,2607,598,317,0,1848,1604,0,1985,763,954,1,1669,1,381,467,1,2811,515,20,5815,1428,0,81,405,504,181,637,375,340,2366,1788,958,20,663,2381,0,4,785,1464,1,442,523,56,0,2,276,7,645,671,0,257,617,487,1376,0,567,813,144,0,1138,0,380,495,144,805,608,2008,902,280,0,474,1367,158,222,270,0,508,220,101,2013,641,474,1106,167,614,1371,362,0,0,238,714,100,0
1605,681,800,372,296,0,326,0,11,2472,258,551,0,1278,836,0,1396,965,707,2,1354,145,188,590,1,3792,1202,26,2160,2229,0,27,452,504,268,755,780,189,5710,99,562,9,1227,2557,267,0,716,1185,1,482,333,56,0,0,419,10,709,583,0,310,700,793,386,53,295,832,256,0,1220,0,486,346,144,753,368,1965,1139,313,0,838,1661,182,171,274,0,245,266,249,1833,322,753,1090,106,519,1790,2223,0,0,216,643,3,0
1214,626,873,697,158,0,331,0,0,3277,620,692,0,1170,1753,0,1733,786,324,2,258,751,866,1381,1,3926,1669,24,617,144,0,275,512,504,325,376,447,330,5660,1185,276,222,869,2565,0,2,590,995,0,579,1192,203,0,0,122,7,938,657,0,493,684,300,730,0,178,1571,0,0,804,954,458,529,144,880,1318,1313,643,302,0,739,1833,225,512,288,0,125,252,176,2235,223,800,1660,126,637,2329,2795,0,0,199,1011,3,0
5911,1710,1009,356,103,151,302,741,4,336,621,1274,104,562,783,0,594,1735,2020,4,5014,945,1516,2742,2,227,1097,162,3864,3876,2044,265,1241,679,924,722,1152,315,1088,4593,586,72,3826,532,2672,4,376,2482,4,1086,2217,962,1927,4,1933,24,4883,1113,0,1027,752,209,371,1232,2615,857,4619,797,274,229,332,1856,52,1221,2336,386,51,321,0,614,667,352,1400,250,0,2402,309,313,3149,3098,794,4924,112,1044,5252,6449,0,1952,185,1441,103,1
5458,1879,2482,399,130,0,440,637,1,269,403,1339,112,765,628,0,880,1766,2016,4,2868,789,1633,2719,3,57,1985,196,372,4049,1496,305,1281,169,1071,743,1195,248,5259,4290,512,138,2795,435,3134,0,183,2312,4,786,2224,915,2159,2,1976,24,5044,1156,0,1059,787,526,414,1219,2536,0,4917,1038,121,0,472,1710,144,814,2473,54,67,326,0,672,1606,371,1626,291,0,2238,341,453,2010,3012,1434,5194,104,1083,0,6536,0,1011,104,1092,103,0
3748,780,1506,865,216,0,221,0,7,2028,515,789,0,1256,1320,1,1253,1118,1016,3,1956,1,529,401,2,2954,2126,26,2918,1090,25,82,820,534,495,652,550,208,2745,1378,545,18,1664,1878,428,4,847,1507,2,582,530,147,0,3,93,10,1214,753,0,385,390,516,866,529,654,0,750,1357,1145,0,442,977,144,812,897,1918,1132,307,0,320,797,209,386,250,0,634,303,93,2065,868,440,1298,100,713,2065,2896,0,0,274,1008,100,0
