age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,cluster
3,4,14655,11,8,4,7,1,4,1,0,0,49,38,0,1
15,4,7193,0,5,0,8,4,2,0,0,0,22,38,0,102
17,4,1432,11,8,5,8,1,2,1,0,0,39,38,0,103
5,4,14114,11,8,4,9,3,4,0,0,0,35,38,0,0
8,4,5679,9,12,4,4,3,4,1,0,0,44,38,0,0
16,4,11043,15,9,4,4,1,4,1,0,0,39,38,0,0
0,4,4256,1,6,4,12,3,4,0,0,0,7,38,0,102
9,4,8274,11,8,4,1,4,2,1,0,13,39,38,0,103
42,4,13114,11,8,2,8,0,4,1,0,0,44,5,0,101
11,4,10170,0,5,4,6,2,4,1,0,0,39,25,0,102
1,4,9623,15,9,4,6,3,3,1,0,0,29,38,0,103
16,4,11798,15,9,2,3,0,4,1,0,0,59,38,1,101
20,4,3235,11,8,0,8,1,4,0,0,0,39,38,0,0
15,4,9171,11,8,2,8,0,4,1,0,0,59,38,0,101
37,4,6029,11,8,4,1,3,4,0,25,0,39,38,0,103
8,4,331,11,8,4,6,1,4,1,0,0,59,9,0,103
9,4,11818,15,9,4,12,4,4,1,0,0,54,38,0,103
33,4,8288,11,8,0,6,1,4,1,0,53,37,38,0,100
46,4,8581,8,10,0,4,1,2,1,0,14,39,38,0,101
26,4,9713,11,8,0,1,1,4,0,0,0,44,38,0,1
33,4,6385,11,8,2,7,0,4,1,0,0,49,38,0,1
10,4,2801,7,11,4,13,1,4,1,0,0,39,38,0,1
9,4,12487,15,9,2,3,0,4,1,0,0,44,38,0,1
24,4,9750,4,2,2,6,0,4,1,0,0,39,13,0,102
13,4,14247,9,12,2,10,5,4,0,0,0,23,38,1,103
5,4,8234,15,9,2,3,0,4,1,33,0,39,38,0,101
41,4,6167,11,8,6,12,1,4,0,0,0,34,38,1,103
31,2,1966,8,10,4,11,4,4,1,0,0,47,38,0,103
36,4,7210,11,8,2,7,0,4,1,0,0,39,38,1,101
3,0,7368,15,9,4,0,3,4,1,0,0,39,38,0,103
