age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
14,4,3237,11,8.0,4,14,3,2,1,0.0,0,39,38,0
8,4,1676,11,8.0,4,7,4,2,1,0.0,0,39,38,0
9,0,1347,9,12.0,2,0,0,4,1,0.0,41,39,38,0
13,2,260,9,12.0,2,10,0,4,1,0.0,0,39,38,0
22,7,1525,15,9.0,2,11,0,4,1,0.0,0,39,38,0
27,7,1994,11,8.0,0,1,4,4,0,0.0,0,37,38,0
51,4,534,2,7.0,6,12,1,4,0,0.0,0,29,38,0
18,5,1996,9,12.0,2,12,0,4,1,0.0,0,49,38,0
47,4,3350,11,8.0,2,12,5,4,0,0.0,0,20,38,0
55,2,3668,11,8.0,2,4,0,4,1,18.0,0,9,38,0
11,5,1613,11,8.0,2,3,0,4,1,0.0,0,49,38,0
48,0,3697,5,3.0,2,0,0,4,1,18.0,0,26,38,0
12,4,4582,11,8.0,3,13,3,2,1,0.0,0,39,38,0
21,7,3781,11,8.0,0,8,1,4,1,0.0,0,39,38,0
10,4,4315,11,8.0,4,7,3,4,1,0.0,0,44,38,0
6,5,3940,11,8.0,4,1,1,4,0,0.0,0,39,38,0
10,6,227,11,8.0,4,3,1,4,1,0.0,0,29,38,0
25,6,1383,15,9.0,2,3,0,4,1,0.0,0,39,8,0
3,4,3994,15,9.0,4,12,3,1,0,0.0,0,19,38,0
16,4,3775,9,12.0,4,4,1,4,0,0.0,0,39,38,0
51,0,63,11,8.0,6,0,1,4,0,0.0,0,11,38,0
14,4,1326,6,4.0,4,5,1,4,1,0.0,0,39,32,0
12,4,2694,7,11.0,0,6,1,4,0,0.0,0,39,38,0
6,4,3664,11,8.0,4,7,3,4,0,0.0,0,39,38,0
6,4,165,11,8.0,2,6,0,4,1,0.0,0,39,38,0
27,2,2863,15,9.0,0,10,4,4,0,0.0,0,24,38,0
31,7,55,9,12.0,0,4,4,4,1,0.0,0,39,38,0
51,4,4243,15,9.0,2,1,0,4,1,0.0,0,39,38,0
20,4,3505,11,8.0,2,14,0,4,1,0.0,0,49,38,0
14,4,2979,11,8.0,0,12,4,3,0,0.0,0,39,25,0
14,4,2906,2,7.0,4,12,3,4,1,0.0,0,31,38,0
8,4,3136,1,6.0,2,7,0,4,1,0.0,0,39,38,0
29,6,589,11,8.0,6,8,2,4,0,0.0,0,39,38,0
41,4,473,11,8.0,2,4,0,4,1,0.0,0,44,38,0
33,4,1528,0,5.0,0,1,4,4,0,0.0,0,39,38,0
10,4,2082,9,12.0,2,4,0,4,1,0.0,0,39,38,0
15,4,2068,11,8.0,4,1,2,4,0,0.0,0,34,38,0
36,1,2465,11,8.0,0,13,4,4,1,0.0,0,39,38,0
13,4,2021,11,8.0,2,8,2,4,0,0.0,0,39,38,0
14,4,683,0,5.0,0,7,1,4,1,0.0,0,39,38,0
