age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cluster,income
4,4,1725,11,8.009927300404243,6,8,3,4,0,0.0,0,35,38,102,0
9,0,3905,15,13.220414465600337,4,1,1,4,0,0.0,0,39,38,102,0
5,4,1474,0,5.9158918533169365,4,5,3,4,0,0.0,0,39,38,0,0
15,3,3725,10,11.054351175155311,2,9,0,4,1,0.0,45,55,38,100,1
30,4,3312,0,7.985561814388198,2,6,0,4,1,0.0,0,39,38,101,0
33,5,1408,11,8.00994820065804,2,4,0,4,1,64.48509979248047,0,69,38,103,1
4,4,3607,11,9.017115550781298,4,8,1,4,0,0.0,0,37,38,1,0
-1,4,2146,8,11.072952266143583,4,6,3,4,0,0.0,0,39,38,0,0
12,3,1458,10,11.19255444762928,2,11,0,4,1,0.0,33,43,38,100,0
16,4,3492,7,8.006277987277292,3,6,0,4,0,0.0,0,39,38,0,0
8,4,1152,11,7.995238661084526,3,6,1,4,1,0.0,0,46,38,0,0
38,4,1665,11,8.008124762374846,3,6,1,4,1,0.0,0,39,17,101,0
31,4,144,12,10.985807171810135,2,4,0,4,1,0.0,0,50,38,103,1
49,4,2494,5,5.446902078947731,2,8,2,2,0,0.0,0,65,22,101,0
28,4,755,9,9.008529141175023,2,6,0,4,1,0.0,0,39,38,103,0
6,3,2113,0,10.055346467143496,3,6,3,3,1,0.0,0,68,38,102,0
-1,4,3492,15,9.025237184239765,4,1,1,4,0,0.0,0,25,38,0,0
33,3,532,9,10.058078527450425,2,11,0,4,0,0.0,34,42,38,100,1
46,5,2694,12,13.076966037245382,2,4,0,4,0,0.0,43,60,38,100,0
27,0,1393,8,9.982019656142642,6,0,3,4,1,0.0,0,24,38,103,0
50,2,675,8,10.005288869300442,0,1,4,3,0,0.0,0,39,38,102,0
30,4,1759,12,13.167987582347894,6,1,1,4,0,0.0,0,23,38,102,0
11,4,1892,11,10.977542006101281,4,2,3,4,0,0.0,29,39,38,100,0
22,4,3940,4,11.946674309122713,4,4,1,4,0,0.0,0,28,21,101,0
2,0,3356,6,3.850878193128723,4,0,1,4,1,0.0,0,26,39,101,0
7,4,1564,15,5.580627573197968,6,1,4,2,0,0.0,0,26,38,102,0
35,2,3256,10,10.982716980733937,2,9,0,4,1,0.0,34,42,38,103,1
30,2,1632,11,7.996608429926085,2,4,4,2,1,0.0,45,39,38,102,0
19,4,2825,15,9.038724951984225,2,11,0,4,0,0.0,34,45,38,100,1
24,0,3094,11,7.994788439529213,2,6,0,4,1,0.0,0,39,38,100,0
11,4,1599,6,6.368565330683103,4,12,3,4,1,0.0,0,21,38,102,0
29,4,1095,9,12.201109983470563,2,4,0,4,1,64.84163665771484,0,39,38,103,0
42,4,615,10,11.013329947110114,2,6,1,4,1,0.0,0,36,38,1,0
24,2,1852,15,8.988065421660641,2,10,1,3,1,0.0,0,48,38,103,0
46,6,2118,2,4.472800710331852,2,4,0,4,1,0.0,0,29,38,101,0
32,2,215,11,8.005335223999849,2,4,0,3,1,0.0,0,44,38,103,1
37,2,2896,12,13.28751553971254,0,4,4,1,0,0.0,0,36,6,102,0
68,4,3289,5,4.461930781307572,2,8,2,3,0,18.351398468017578,0,39,26,101,0
11,4,3436,6,7.999118444991719,3,8,3,4,1,0.0,0,39,38,0,0
5,4,2599,11,8.007906725135394,3,3,1,4,0,0.0,35,49,38,100,0
57,3,775,10,11.097098324881834,2,9,0,4,1,0.0,40,24,38,100,1
31,4,2084,11,7.99338953795031,2,8,0,4,1,0.0,0,39,38,1,0
12,4,4368,9,12.144718828904725,4,10,1,4,1,63.47117614746094,0,49,38,103,1
47,1,901,9,12.160421021861964,0,10,1,1,1,0.0,0,49,21,103,0
22,0,1610,15,9.009894511881226,6,8,4,4,0,0.0,0,39,38,0,0
34,5,-106,12,13.162518148970044,2,4,0,4,1,0.0,0,39,38,103,1
35,3,2366,0,4.495547716009556,2,5,0,4,1,0.0,0,33,38,101,1
2,4,1194,11,8.022085096419922,4,3,3,4,0,0.0,0,64,38,0,0
25,4,856,9,12.005971701425047,2,3,0,4,1,0.0,0,39,38,103,1
8,4,3390,11,7.9977781682466915,2,3,0,4,1,0.0,0,39,38,1,0
30,3,2274,10,4.476269637717914,2,5,0,3,1,0.0,42,39,33,101,0
5,4,4347,8,10.026654028055356,4,6,1,4,1,0.0,0,47,38,1,0
25,4,751,12,13.676383982979376,0,4,1,4,0,0.0,0,48,38,1,0
24,4,3462,0,5.535561038540665,4,5,1,4,0,0.0,0,39,38,101,0
7,4,2311,11,9.007715232346287,5,1,4,4,0,0.0,0,39,38,0,0
8,5,951,9,3.6727643973210693,2,7,0,3,1,0.0,0,44,38,101,0
13,1,1793,9,3.399210534194938,6,0,1,2,0,0.0,0,39,38,101,0
