age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,4,169641,11,4,6,2,2,0,0,0,27,39,0
44,4,199804,15,4,11,4,4,0,0,0,31,22,0
32,8,279373,10,2,1,5,4,0,0,0,42,39,0
49,1,40606,7,1,10,4,4,0,0,0,24,39,0
40,4,184825,11,2,4,0,3,1,99986,0,36,39,1
42,2,170640,15,0,11,4,4,0,0,0,48,39,0
21,2,168771,15,4,11,3,4,0,0,0,46,39,0
53,4,349026,9,0,4,0,4,1,4739,0,60,39,1
17,4,147350,1,4,13,3,4,0,0,0,35,39,0
36,4,354337,9,2,7,0,4,1,0,0,57,39,0
35,4,199046,10,2,4,0,3,0,0,0,40,39,1
45,4,345963,15,0,10,1,4,1,12259,0,75,39,1
22,4,38393,1,4,1,3,4,0,0,0,40,39,0
22,4,92830,11,4,12,1,2,0,0,0,14,39,0
30,2,183892,11,4,10,1,3,0,0,0,47,39,0
37,4,115480,11,2,8,0,4,1,99932,0,82,39,1
23,1,186750,15,4,1,2,1,1,0,0,45,39,0
16,4,176745,1,4,1,3,4,0,2888,0,40,39,0
42,7,184205,12,3,4,4,3,0,0,0,19,39,0
34,7,229172,10,2,7,0,4,1,0,0,21,39,1
33,4,176825,9,4,12,1,0,0,0,0,22,39,0
58,4,188809,15,2,9,0,4,0,0,0,41,39,0
56,4,222368,5,2,13,0,4,1,1269,0,40,39,0
42,4,101250,13,2,9,0,4,1,99915,0,47,39,1
30,2,30468,15,4,3,0,4,0,0,0,40,39,0
17,4,321216,0,4,4,4,4,1,0,0,40,39,0
25,2,286279,15,2,1,0,2,1,0,0,40,39,0
24,2,202488,7,2,1,0,4,1,0,0,23,39,0
19,1,150705,8,4,0,1,3,0,0,0,17,39,0
42,6,208118,11,2,11,0,4,1,100032,0,52,39,1
36,5,301460,10,2,3,0,3,0,4080,0,36,39,0
47,5,195591,9,2,4,0,4,0,0,0,52,39,1
35,4,166738,15,5,13,2,2,0,0,0,40,39,0
38,4,596557,12,2,9,0,4,1,99955,0,45,39,1
17,4,182015,1,4,12,3,4,0,0,0,8,39,0
19,4,357072,9,6,0,1,4,0,0,0,22,39,0
33,2,249921,11,3,7,2,3,0,0,0,33,39,0
72,4,95328,5,2,4,0,1,1,0,0,40,30,1
17,4,151804,1,4,7,2,2,0,0,0,31,39,0
35,4,105400,0,2,6,0,4,1,0,0,40,39,0
44,5,43381,15,3,11,0,2,1,99833,0,60,31,0
23,4,234377,10,4,10,1,2,1,0,0,48,39,0
19,4,193390,1,4,1,4,4,0,0,0,24,39,0
19,4,209766,11,2,3,5,4,0,0,2283,50,39,0
40,4,415843,11,2,7,0,2,1,0,0,40,22,0
49,2,236282,15,3,12,0,2,1,99995,0,40,39,0
57,4,289006,7,4,1,4,4,0,0,0,15,39,0
44,4,324167,1,1,1,4,4,0,0,0,17,22,0
25,3,174877,15,4,13,1,2,0,0,0,40,39,0
45,2,112890,9,2,10,0,1,0,0,0,52,31,1
18,4,183367,1,4,6,1,2,0,0,0,46,39,0
55,4,331626,13,2,10,0,4,1,99944,0,60,39,1
21,4,245383,0,4,4,1,4,1,0,0,40,39,0
49,4,184990,8,2,10,0,4,0,99983,0,40,39,1
52,4,216223,9,0,12,1,4,0,0,0,29,39,0
37,7,76302,9,2,4,0,4,1,4626,0,40,39,1
44,4,220581,11,0,4,1,3,0,0,0,12,39,0
17,4,193449,0,2,7,0,4,1,0,0,10,39,0
38,3,104493,12,2,6,0,2,0,0,0,40,24,0
50,6,50368,15,0,14,0,2,0,0,0,47,39,0
41,2,288579,7,0,9,4,4,1,0,0,12,39,0
34,4,81964,9,6,12,1,4,0,0,0,48,39,0
35,5,212378,10,2,4,0,4,0,99976,0,49,39,1
88,0,102978,9,2,0,5,4,0,0,0,5,39,0
48,2,368817,15,0,10,4,4,1,0,0,40,31,0
42,0,97102,0,0,0,4,4,0,0,0,40,39,0
19,4,195091,10,1,1,2,3,0,0,0,53,39,1
