age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
57,4,181030,11,0,7,4,4,1,0,0,56,39,0
29,0,202995,12,2,3,2,4,0,0,0,40,39,0
35,4,281197,15,4,3,1,4,1,0,0,40,39,0
30,4,177159,5,0,7,4,3,0,0,482,33,35,0
27,7,169185,7,4,10,2,4,0,99940,0,34,39,1
28,4,185784,15,4,10,1,4,0,0,0,40,2,0
25,0,212092,12,4,3,3,4,1,0,0,30,39,0
23,4,186582,9,4,10,1,4,0,0,0,40,39,1
43,5,150814,12,2,5,0,4,1,0,0,40,39,1
46,4,410756,11,1,7,4,1,0,0,0,39,24,0
30,4,205847,4,2,7,2,3,1,0,0,52,39,0
41,4,174732,9,2,7,0,4,1,100077,0,59,39,1
54,0,74571,11,0,6,4,4,1,0,0,44,39,0
23,6,187114,15,2,12,0,4,1,0,0,40,39,0
45,4,176534,11,2,7,0,4,1,100029,0,51,39,1
64,4,291421,2,2,7,4,4,0,4879,0,40,39,0
23,4,190332,15,4,8,3,4,0,0,0,23,39,0
51,4,103631,10,2,1,5,4,0,0,0,33,39,1
50,5,287430,9,2,9,2,3,0,99957,0,36,39,1
59,4,186311,12,2,4,2,4,0,0,0,29,39,0
20,4,91137,15,2,12,0,4,1,0,0,29,39,0
35,4,172718,6,4,7,3,4,1,0,0,22,39,0
48,4,262758,4,0,3,0,4,1,0,0,52,11,0
54,3,314269,14,2,7,0,4,1,100030,0,66,39,1
27,4,43245,12,2,11,0,4,1,6343,0,31,39,1
29,0,305192,11,4,0,1,4,1,0,0,40,39,0
42,4,146193,12,2,4,5,4,0,100056,0,35,39,1
48,7,35587,12,2,10,0,4,1,100085,0,47,39,1
49,5,223010,10,2,4,0,4,1,99971,0,54,39,1
72,4,252544,14,2,10,1,4,1,0,0,31,39,1
60,6,22667,11,2,0,1,4,0,0,0,15,39,0
14,4,499331,9,2,12,0,4,1,0,0,32,39,1
60,4,169034,12,2,10,0,4,1,99981,0,56,39,1
36,4,369575,10,2,5,0,4,1,100018,0,36,39,1
33,4,503180,0,0,12,1,4,1,0,0,38,39,0
66,4,109043,9,2,4,0,4,1,100009,0,49,39,1
49,4,180504,2,0,7,2,4,0,0,0,36,17,0
41,4,196304,12,2,8,0,1,1,100111,0,44,39,1
58,4,376964,7,2,13,0,4,1,100020,0,61,39,1
51,4,153543,10,2,7,0,4,0,100084,0,52,39,1
44,4,473934,11,2,3,0,4,1,100024,0,40,39,1
21,4,158621,15,2,11,3,4,1,0,0,37,39,1
15,4,211569,12,4,8,3,4,0,0,0,23,2,0
48,5,175019,15,5,14,1,4,0,0,0,37,39,0
31,2,33603,4,2,0,5,4,0,0,1919,40,39,0
21,4,534386,7,0,8,4,0,0,0,0,38,2,0
30,4,194018,2,0,8,2,3,0,0,0,40,39,0
55,7,184118,15,4,10,1,4,0,4689,1636,40,39,1
23,6,400647,15,2,4,0,4,1,0,0,57,39,1
23,4,226642,11,4,8,3,4,1,0,0,35,39,0
49,4,352313,9,2,4,0,4,1,0,0,40,39,1
54,6,172874,11,2,4,0,4,0,99955,0,55,39,1
45,3,225544,2,4,7,3,1,0,0,0,40,0,0
52,0,60719,11,6,0,3,4,0,0,0,40,39,0
58,3,369837,9,0,7,4,3,0,0,0,39,39,0
60,4,179414,11,4,7,2,4,1,0,0,40,39,0
31,5,108068,12,2,4,0,4,0,99991,0,46,39,1
53,4,153203,9,2,4,0,4,1,100030,0,60,39,1
44,4,440233,7,2,4,2,4,0,13511,0,37,39,1
33,4,93747,15,5,14,1,4,1,4568,0,40,39,1
38,4,327476,9,0,6,0,4,1,100010,0,50,39,1
29,0,166880,11,0,2,4,4,0,0,0,24,37,0
56,4,222389,9,0,9,4,4,0,0,0,54,19,0
49,4,80514,9,2,4,0,4,1,4877,0,59,39,1
42,5,176968,4,5,8,4,3,0,0,0,48,9,0
42,6,360250,12,0,10,0,4,1,99975,0,54,39,1
66,4,291474,11,2,4,0,4,1,99881,0,51,39,1
44,6,148894,11,2,11,0,4,1,100012,0,56,39,1
35,4,481278,11,4,6,3,4,1,0,0,23,39,0
33,4,394072,13,2,10,0,4,1,100059,0,53,39,1
21,4,336574,3,2,3,0,4,1,0,0,59,39,0
53,3,241813,8,0,5,1,4,0,0,0,43,39,0
18,4,209533,11,4,5,1,4,1,0,0,59,39,0
30,4,188274,4,2,1,2,2,0,0,0,46,37,0
59,4,166122,9,1,9,4,1,0,0,0,34,35,1
59,4,183975,12,2,5,0,2,0,0,0,29,39,0
